,users,degree
0,1074760447805534209,48.0
1,167404483,232.0
2,1074386903103721472,63.0
3,1054665965970046976,4905.0
4,1066054080559292416,16.0
5,795006255555313664,5001.0
6,1045396726671179778,1.0
7,1052194725204189185,26.0
8,1042745478377615366,67.0
9,735195812146380800,106.0
10,871818273448484865,325.0
11,3126247745,1065.0
12,1029242357554786304,3461.0
13,1075475595469967360,177.0
14,588425596,61.0
15,1075425547918983168,14.0
16,1074732817202982912,231.0
17,760054578398236672,2305.0
18,556294878,20.0
19,88162145,694.0
20,997561583034359808,947.0
21,2425585152,162.0
22,251693972,8.0
23,207145817,451.0
24,190065058,658.0
25,2655090524,107.0
26,4624092435,79.0
27,1073980021197422592,82.0
28,1074357853664743424,6.0
29,798956430124584960,95.0
30,1074014493724827648,5.0
31,3662934445,113.0
32,908807869348368389,25.0
33,902650242260226048,28.0
34,1073657575911120897,65.0
35,1055950934684172289,12.0
36,1073678275090763784,3.0
37,576415447,580.0
38,1055787723657752578,40.0
39,1009512673342644225,73.0
40,1055430357326139394,20.0
41,736125365681278976,128.0
42,1072447462768562178,11.0
43,969935238498570240,3.0
44,1072736418336833536,361.0
45,2382754466,3498.0
46,760161327776235520,11.0
47,1045362327439233024,517.0
48,2801498805,77.0
49,110557285,94579.0
50,949972918318100480,371.0
51,1031259040926580737,337.0
52,731620134742294528,145.0
53,1015286089140068355,388.0
54,782592258541510657,324.0
55,522095241,40.0
56,983712245543616513,1188.0
57,231925812,58.0
58,1722416809,681.0
59,32140995,7701.0
60,1917523164,47.0
61,1071806438190780423,5.0
62,1071793273092694016,28.0
63,3183256540,26.0
64,1052669642936860680,14.0
65,831130379687952384,677.0
66,1071540845843746816,131.0
67,171491393,14925.0
68,3431280993,1727.0
69,1071186280854233094,4.0
70,973981082617044992,38.0
71,960216907,34.0
72,862005074528272385,157.0
73,1070802037657473030,51.0
74,821857651399282689,1800.0
75,1044746108105306113,3451.0
76,302477274,99.0
77,216253467,193.0
78,23050248,31.0
79,997709933989654530,2693.0
80,1065892960628289536,10.0
81,410598515,134.0
82,2739769013,312.0
83,819210600,656.0
84,1663337384,63.0
85,2463467228,995.0
86,1722508574,203.0
87,1061404992798687234,4979.0
88,1069803431936712704,4980.0
89,1048955545225445377,361.0
90,3804298581,26.0
91,20932037,1171.0
92,951960949338116097,245.0
93,948618001359753216,658.0
94,15206493,919.0
95,723936967411568641,12.0
96,60013864,338.0
97,15252776,5875.0
98,1058285042970124289,3503.0
99,1007476610,163.0
100,477335340,565.0
101,775704318955487234,787.0
102,2956456096,119.0
103,355426172,54.0
104,1067919977221636097,1060.0
105,896382258910826496,155.0
106,2149340937,13.0
107,77955155,64.0
108,1066489173715107841,245.0
109,737266670,450.0
110,739852182342754304,1034.0
111,1045855470588551170,1449.0
112,1045322335245537280,610.0
113,461006539,477.0
114,943075862714503168,53.0
115,1066630943920873472,41.0
116,233927895,2502.0
117,1065851527154331648,54.0
118,137465242,276.0
119,1030918223443709952,245.0
120,1006201773269364738,49.0
121,748200129358856193,183.0
122,129884912,3023.0
123,18502604,735.0
124,1064265228106547207,4998.0
125,3345533025,3305.0
126,1060227178057687040,248.0
127,2360437101,340.0
128,1054767834218332161,43.0
129,924252010794364930,77.0
130,2885996723,46.0
131,4113692836,17.0
132,52427677,732.0
133,957276672,151.0
134,1050062969613234177,25.0
135,35762249,101.0
136,918359232956764160,512.0
137,855679208030445569,21.0
138,730354194029359105,11.0
139,3111585081,40.0
140,3315734465,72.0
141,951880584078544896,40.0
142,2196025496,132.0
143,2462914453,1053.0
144,831560095,95.0
145,1052108569624145921,53.0
146,949324844826537984,2093.0
147,746628732580933632,257.0
148,2246360747,134.0
149,820300138241372160,1148.0
150,1000802088769728514,37.0
151,1060292951715299333,23.0
152,406226659,81.0
153,1057410267812913152,148.0
154,1049803068961886208,237.0
155,1059960519111651330,226.0
156,6176772,489331.0
157,1049959728544145408,140.0
158,21078642,117.0
159,1729671091,21.0
160,1059859546368339968,1.0
161,2468199422,111.0
162,1058733277341728768,126.0
163,1052611241225723905,7.0
164,390467385,118.0
165,986158384008310784,16.0
166,31401714,155.0
167,203332850,643.0
168,235612604,336.0
169,815850119794950145,766.0
170,3043927525,131.0
171,32356322,359.0
172,1166646282,55.0
173,2287469286,4998.0
174,833350807235993601,429.0
175,306769353,181.0
176,1033267775140192258,77.0
177,2974625248,493.0
178,825391656908234753,12.0
179,1055197721307631616,66.0
180,723298267635699712,4990.0
181,3069690754,111.0
182,94986801,4990.0
183,1056678419407220737,6.0
184,1049697593339600896,251.0
185,906279634957950981,23.0
186,738288992,130.0
187,934898204692250624,272.0
188,1056300027855937536,24.0
189,1053680089832062976,17.0
190,1051879670139023360,669.0
191,1129272900,108.0
192,296361984,2759.0
193,3145678393,33.0
194,734142122203447296,185.0
195,1054826440829603841,55.0
196,3586188676,250.0
197,1055023243466293248,15.0
198,999678932092964865,428.0
199,511710520,1102.0
200,967878928017838081,4967.0
201,919193640328720384,230.0
202,589854923,312.0
203,1054052341316509696,78.0
204,889088723786354690,1015.0
205,193274469,94.0
206,1052491746494570496,13.0
207,607660420,912.0
208,947344396848021506,4646.0
209,16362390,288.0
210,722672207474900992,235.0
211,364815392,85.0
212,792952694113697793,4999.0
213,2612525153,130.0
214,3432654843,64.0
215,969941157735227392,300.0
216,1050155067779796993,401.0
217,957673113189273600,66.0
218,776098382179885056,68.0
219,1042707175703900160,1171.0
220,1001050749617541121,37.0
221,1052418157988769792,30.0
222,25474934,1557.0
223,992838292377882624,377.0
224,1052159234228580352,7.0
225,1051991220732534784,92.0
226,633757433,5868.0
227,1611245923,29.0
228,1051147070072135686,151.0
229,3031391619,66.0
230,160532692,312.0
231,1034886302410448898,955.0
232,984406985331404800,24.0
233,902168220400013312,492.0
234,758105108680933376,236.0
235,87175062,204.0
236,1049194694566170624,584.0
237,3017461852,615.0
238,291337887,129.0
239,1290604550,472.0
240,949381513233293313,234.0
241,2605576030,71.0
242,3927271031,326.0
243,1048207215927197696,1.0
244,715631548255629312,134.0
245,380883564,67.0
246,57585578,7.0
247,39426199,944.0
248,871544191230373888,509.0
249,1047466838429454336,8.0
250,4689457003,311.0
251,971034624943157251,19.0
252,756564961581817856,149.0
253,457099555,170.0
254,8522852,1152.0
255,14183532,18.0
256,1047472655870386176,4.0
257,1047378888173768704,67.0
258,416819623,4743.0
259,106769589,44.0
260,1021244949659078656,112.0
261,1719184326,10.0
262,2882868471,1562.0
263,551726386,689.0
264,890239887315750912,89.0
265,1060143901,1330.0
266,1039869519077015552,9.0
267,823639720395739136,82.0
268,228335362,929.0
269,1045804164180307968,29.0
270,1045413691611643904,21.0
271,1015583549515321345,489.0
272,31686814,687.0
273,86605367,3604.0
274,1033470777667014656,4.0
275,15218545,518.0
276,731090856971763714,1519.0
277,1019197534655283200,128.0
278,2727590415,121.0
279,779318912760487937,485.0
280,878339052,80.0
281,908076515237269504,1009.0
282,2345513979,815.0
283,1893641498,37.0
284,1043537299613597696,45.0
285,833735160197705729,709.0
286,347455139,25.0
287,1922757451,327.0
288,236145777,470.0
289,18612267,985.0
290,999906630962528256,74.0
291,967282313624203264,285.0
292,1030148168019795968,16.0
293,1522149235,144.0
294,1338503790,12.0
295,881271588972253184,4914.0
296,1030108787657637888,204.0
297,1010972109923811333,67.0
298,734735084,473.0
299,1243096148,751.0
300,1019446701285752832,966.0
301,1040214861656059904,65.0
302,141380192,196.0
303,1040188957227737089,42.0
304,320624151,54.0
305,95990225,67.0
306,4473859457,1156.0
307,1033250116369559553,10.0
308,3233664783,30.0
309,1038623047769567233,1536.0
310,205829621,235.0
311,1039243997745762304,37.0
312,212501938,1647.0
313,1037995349737132032,11.0
314,870727678747439104,178.0
315,92484445,2411.0
316,1540692565,1716.0
317,922538272236163072,128.0
318,3460509754,2115.0
319,99428440,237.0
320,940727415021678597,95.0
321,4189873564,93.0
322,1027133179449229312,68.0
323,904380895,130.0
324,2348107216,34.0
325,1726542362,866.0
326,35203319,209193.0
327,903330523900248064,4014.0
328,2754551042,540.0
329,751351045239009280,16.0
330,979027014689665029,1178.0
331,2924392637,141.0
332,1036611878221500416,165.0
333,3365702169,26.0
334,1036583891358965760,1.0
335,1109579160,140.0
336,3221330536,10.0
337,60054104,25.0
338,100195103,478.0
339,996167638073081857,35.0
340,724140188469985280,11.0
341,998198748592427008,28.0
342,236937209,182.0
343,4171999883,15.0
344,89180172,62.0
345,701784432865316864,71.0
346,396489701,2146.0
347,1035947376635244544,17.0
348,3394969785,303.0
349,2748393043,60.0
350,517978847,29.0
351,818510777183334400,738.0
352,720682061686824964,14.0
353,1033845311058464768,236.0
354,391505603,149.0
355,1008612263383715840,39.0
356,170328390,479.0
357,860047496038559745,17.0
358,965949184418484225,37.0
359,2412695007,3651.0
360,909760211493249024,13.0
361,2799786458,188.0
362,521606917,238.0
363,873539035406503936,58.0
364,1962817724,847.0
365,66305109,105.0
366,719430869660909568,1318.0
367,901021379625013248,48.0
368,1006248139664314368,866.0
369,1026405590824828930,423.0
370,2291438620,61.0
371,1009889229235736576,456.0
372,1027731828948389889,79.0
373,1543809806,866.0
374,736187223914221569,24.0
375,2377347605,323.0
376,3082542739,478.0
377,996866178244104193,201.0
378,933443321116143617,45.0
379,711209822516060160,991.0
380,1029871558188302336,1060.0
381,825756758396243968,368.0
382,983756779757633537,41.0
383,2942033015,271.0
384,735445648196145152,568.0
385,2507806369,30.0
386,2877098512,222.0
387,1016739228418441216,22.0
388,1493132060,108.0
389,172681669,365.0
390,3498478463,663.0
391,1877921486,104.0
392,1028558962449440768,113.0
393,354532299,65.0
394,1027983331265327104,997.0
395,956965902641180674,5.0
396,964471781192077312,108.0
397,265974773,1017.0
398,2990442723,1239.0
399,1023171023213088769,6.0
400,1026920184244781058,37.0
401,1026545620658606081,3.0
402,1021468596361400320,473.0
403,1415627383,367.0
404,1026796619419635712,47.0
405,231600852,134.0
406,994665201478881280,148.0
407,145061969,1311.0
408,2818449286,58.0
409,2746396901,64.0
410,1026098712974684160,345.0
411,2160719792,838.0
412,990273598194618368,81.0
413,1025241157171929089,2496.0
414,998916146240937990,262.0
415,455306754,56.0
416,1001458874669551616,25.0
417,2833649800,119.0
418,809151423946571778,14.0
419,1979103919,291.0
420,1002901727706828802,33.0
421,194514191,52.0
422,40351540,22.0
423,375698205,31.0
424,1022107703043338246,12.0
425,810991175771574272,183.0
426,1023164218823122945,3568.0
427,3386943183,263.0
428,955931920986230784,23.0
429,1022938331020226560,2340.0
430,770569254215311360,80.0
431,1022892015464402946,5.0
432,1022502494214205440,70.0
433,1022882580167843840,240.0
434,1007695570851557376,23.0
435,1016628763680038912,288.0
436,996842549909315585,7.0
437,15402630,185.0
438,2173881795,15.0
439,1022076795087151104,187.0
440,896830904194256896,42.0
441,770567454003265536,633.0
442,2946207016,25.0
443,262726455,778.0
444,822533642043924481,540.0
445,818569435376218112,193.0
446,59482846,1027.0
447,923117740759699456,62.0
448,1021246250363047937,6.0
449,3147234148,253.0
450,1009536268089352192,406.0
451,1016142700112990211,7.0
452,1337411785,98.0
453,1020334540609540097,79.0
454,898481825827475458,288.0
455,24727891,157624.0
456,973125997745836033,4991.0
457,949796084980776960,510.0
458,175053827,301.0
459,966455427436367872,108.0
460,869110195703619585,231.0
461,770141068214013952,293.0
462,2808749579,3172.0
463,1019604976660774912,301.0
464,942807299046952960,30.0
465,980690704736202752,3375.0
466,873272034800922624,453.0
467,633667999,322.0
468,988061728704516097,124.0
469,2491270309,796.0
470,898363687190134785,69.0
471,3697594996,1711.0
472,1479411061,1479.0
473,780165343,6.0
474,74265844,513.0
475,147227606,2914.0
476,943645862281936896,413.0
477,6060852,135.0
478,1017624952898510853,23.0
479,1319784140,410.0
480,988466046817521667,3759.0
481,707663732,3520.0
482,1014833429148360706,4819.0
483,760986216745603076,277.0
484,169658986,783.0
485,902570515747016705,33.0
486,218548139,460.0
487,200932981,324.0
488,169991085,768.0
489,1216300616,457.0
490,973738531,27.0
491,14230904,498.0
492,131831523,40.0
493,1007958056146268160,17.0
494,29101857,1594.0
495,4926496677,361.0
496,968087927543685120,59.0
497,3044921891,35.0
498,3060217681,27.0
499,732266491324825600,80.0
500,49905293,514.0
501,908831921148432384,217.0
502,1553735545,916.0
503,3293851905,1573.0
504,1014766553877934080,43.0
505,163086259,317.0
506,785826633139757056,859.0
507,1006874176794382339,610.0
508,999976898863271937,1501.0
509,894617203953238016,160.0
510,781759058210463744,2.0
511,2511783398,398.0
512,1147474993,410.0
513,192444367,2527.0
514,370668772,437.0
515,977648897500827650,180.0
516,892093377474420736,122.0
517,958291320,57.0
518,895024757216690176,3921.0
519,772081998403895296,49.0
520,874509281734905856,242.0
521,167754838,444.0
522,957967119811010565,65.0
523,1009045510555144194,1485.0
524,38910286,616.0
525,1010198995849895936,55.0
526,950663108137275392,12.0
527,2751110242,525.0
528,735164604649746432,178.0
529,912742399864131586,21.0
530,1000007412726804481,32.0
531,4773331815,82.0
532,215905408,11.0
533,1010928162426052608,7.0
534,2451421784,259.0
535,756927394473185280,45.0
536,817750380,224.0
537,968580058301583365,9.0
538,864893930,601.0
539,2223515708,201.0
540,3362119893,46.0
541,37898512,15.0
542,4838707210,195.0
543,1439521442,64.0
544,940329483135004672,38.0
545,3411342729,69.0
546,715806378347114496,62.0
547,706913914366332929,218.0
548,3370684529,255.0
549,2363147053,128.0
550,974129737265287168,47.0
551,1009674794189688833,47.0
552,1010121558529069056,650.0
553,957718150941937664,29.0
554,901562798727147522,517.0
555,431596157,82.0
556,829384361048956928,121.0
557,4215736215,30.0
558,1009522696395378689,1005.0
559,1364280462,750.0
560,183127571,376.0
561,3090938952,581.0
562,1004564868656222208,527.0
563,1627582286,2340.0
564,837035716462985217,680.0
565,933338093788200961,28.0
566,894213728798945282,139.0
567,2351845987,678.0
568,15907673,665.0
569,831509533,426.0
570,535937035,2902.0
571,4152566019,193.0
572,939068073872646145,13.0
573,3013866760,32.0
574,1006557142227341313,7.0
575,982244001225916416,131.0
576,1004402352395247616,106.0
577,2524721627,99.0
578,1006557989459939329,152.0
579,965313564499099648,1440.0
580,1006108461858480128,7.0
581,94347345,387.0
582,973666822489825281,416.0
583,135484658,852.0
584,1005763163546112000,2874.0
585,2653708357,45.0
586,998958420307914752,32.0
587,4663162156,168.0
588,1262573178,348.0
589,2483564305,104.0
590,362975237,82.0
591,1903214233,202.0
592,172775903,332.0
593,458350569,4.0
594,1004853781371158528,278.0
595,58400764,208.0
596,900268332951236608,299.0
597,993396051955478528,3208.0
598,2333843986,518.0
599,3156814178,280.0
600,2788524731,385.0
601,892055248705114112,75.0
602,4209105496,5001.0
603,872704980460896257,94.0
604,3161061443,122.0
605,972418673670545409,133.0
606,357603706,470.0
607,975438403348156417,530.0
608,819940267532976128,181.0
609,725064108639420417,192.0
610,53036141,150.0
611,950854036307275776,867.0
612,998861144281534465,382.0
613,42687236,216.0
614,61458911,919.0
